mutant,operator,info,status
 510,CRP,nayajson:255,+survived
 511,CRP,nayajson:257,killed by test_string_parsing
 512,CRP,nayajson:257,killed by test_string_parsing
 513,CRP,nayajson:258,killed by test_string_parsing
 514,CRP,nayajson:258,killed by test_string_parsing
 515,CRP,nayajson:259,killed by test_string_parsing
 516,CRP,nayajson:259,killed by test_string_parsing
 517,CRP,nayajson:260,killed by test_string_parsing
 518,CRP,nayajson:260,killed by test_string_parsing
 519,CRP,nayajson:261,killed by test_string_parsing
 520,CRP,nayajson:261,killed by test_string_parsing
 521,CRP,nayajson:262,killed by test_string_parsing
 522,CRP,nayajson:262,killed by test_string_parsing
 523,CRP,nayajson:264,+survived
 524,CRP,nayajson:264,+survived
 525,CRP,nayajson:266,+survived
 526,CRP,nayajson:268,killed by test_string_parsing
 527,CRP,nayajson:268,killed by test_string_parsing
 528,CRP,nayajson:269,killed by test_string_parsing
 529,CRP,nayajson:269,killed by test_string_parsing
 530,CRP,nayajson:270,killed by test_string_parsing
 531,CRP,nayajson:270,killed by test_string_parsing
 532,CRP,nayajson:271,killed by test_string_parsing
 533,CRP,nayajson:271,killed by test_string_parsing
 534,CRP,nayajson:272,killed by test_string_parsing
 535,CRP,nayajson:272,killed by test_string_parsing
 536,CRP,nayajson:273,killed by test_string_parsing
 537,CRP,nayajson:273,killed by test_string_parsing
 538,CRP,nayajson:275,+survived
 539,CRP,nayajson:275,+survived
 540,CRP,nayajson:277,+survived
 541,CRP,nayajson:279,killed by test_string_parsing
 542,CRP,nayajson:279,killed by test_string_parsing
 543,CRP,nayajson:280,killed by test_string_parsing
 544,CRP,nayajson:280,killed by test_string_parsing
 545,CRP,nayajson:281,killed by test_string_parsing
 546,CRP,nayajson:281,killed by test_string_parsing
 547,CRP,nayajson:282,killed by test_string_parsing
 548,CRP,nayajson:282,killed by test_string_parsing
 549,CRP,nayajson:283,+survived
 550,CRP,nayajson:283,+survived
 551,CRP,nayajson:284,+survived
 552,CRP,nayajson:284,+survived
 553,CRP,nayajson:286,+survived
 554,CRP,nayajson:286,+survived
 555,CRP,nayajson:288,+survived
 556,CRP,nayajson:290,killed by test_string_parsing
 557,CRP,nayajson:290,killed by test_string_parsing
 558,CRP,nayajson:291,killed by test_string_parsing
 559,CRP,nayajson:292,killed by test_string_parsing
 560,CRP,nayajson:292,killed by test_string_parsing
 561,CRP,nayajson:293,killed by test_string_parsing
 562,CRP,nayajson:294,killed by test_string_parsing
 563,CRP,nayajson:294,killed by test_string_parsing
 564,CRP,nayajson:295,killed by test_string_parsing
 565,CRP,nayajson:297,+survived
 566,CRP,nayajson:297,+survived
 567,CRP,nayajson:305,killed by test_arrays
 568,CRP,nayajson:306,?survived
 569,CRP,nayajson:311,+survived
 570,CRP,nayajson:311,killed by test_number_parsing
 571,CRP,nayajson:311,+survived
 572,CRP,nayajson:311,+survived
 573,CRP,nayajson:317,killed by test_arrays
 574,CRP,nayajson:318,+survived
 575,CRP,nayajson:319,killed by test_arrays
 576,CRP,nayajson:319,killed by test_number_parsing
 577,CRP,nayajson:331,+survived
 578,CRP,nayajson:331,+survived
 579,CRP,nayajson:340,+survived
 580,CRP,nayajson:340,+survived
 581,CRP,nayajson:342,+survived
 582,CRP,nayajson:342,+survived
 583,CRP,nayajson:346,killed by test_objects
 584,CRP,nayajson:346,killed by test_objects
 585,CRP,nayajson:348,killed by test_arrays
 586,CRP,nayajson:348,killed by test_arrays
 587,CRP,nayajson:351,+survived
 588,CRP,nayajson:351,+survived
 589,CRP,nayajson:353,+survived
 590,CRP,nayajson:353,+survived
 591,CRP,nayajson:358,+survived
 592,CRP,nayajson:358,+survived
 593,CRP,nayajson:361,killed by test_arrays
 594,CRP,nayajson:363,killed by test_arrays
 595,CRP,nayajson:363,killed by test_arrays
 596,CRP,nayajson:365,killed by test_objects
 597,CRP,nayajson:365,killed by test_objects
 598,CRP,nayajson:367,+survived
 599,CRP,nayajson:367,+survived
 600,CRP,nayajson:369,killed by test_arrays
 601,CRP,nayajson:369,killed by test_arrays
 602,CRP,nayajson:370,+survived
 603,CRP,nayajson:370,+survived
 604,CRP,nayajson:373,killed by test_arrays
 605,CRP,nayajson:373,killed by test_arrays
 606,CRP,nayajson:375,killed by test_objects
 607,CRP,nayajson:375,killed by test_objects
 608,CRP,nayajson:377,killed by test_arrays
 609,CRP,nayajson:377,killed by test_arrays
 610,CRP,nayajson:380,+survived
 611,CRP,nayajson:380,+survived
 612,CRP,nayajson:383,killed by test_arrays
 613,CRP,nayajson:383,killed by test_arrays
 614,CRP,nayajson:385,killed by test_arrays
 615,CRP,nayajson:387,killed by test_arrays
 616,CRP,nayajson:388,killed by test_arrays
 617,CRP,nayajson:389,killed by test_objects
 618,CRP,nayajson:390,+survived
 619,CRP,nayajson:391,killed by test_objects
